,article_name,article_quality,country,population,revision_id
8867,Comfort Doyoe Cudjoe-Ghansah,Start,Ghana,29.5,747256516
8868,Brigitte Dzogbenuku,Stub,Ghana,29.5,747468299
8869,Ofusu Kwabi,Stub,Ghana,29.5,747921070
8870,Imoru Ayarna,Start,Ghana,29.5,748076888
8871,Eva Lokko,Start,Ghana,29.5,748409196
8872,Jacob Osei Yeboah,Stub,Ghana,29.5,749237949
8873,C.K. Tedam,Start,Ghana,29.5,749298143
8874,List of Ghanaian politicians,Start,Ghana,29.5,751399111
8875,Ivor Greenstreet,Stub,Ghana,29.5,752766755
8876,Ama Pomaa Andoh,Stub,Ghana,29.5,753429627
8877,John Hope Smith,Stub,Ghana,29.5,754446870
8878,Emelia Arthur,Stub,Ghana,29.5,756323400
8879,Betty Mould-Iddrisu,Start,Ghana,29.5,757540278
8880,Victoria Hammah,Stub,Ghana,29.5,757618465
8881,Ebenezer Okletey Terlabi,Stub,Ghana,29.5,758415814
8882,Vice-President of Ghana,Start,Ghana,29.5,760214700
8883,Owuraku Amofa,Stub,Ghana,29.5,763925886
8884,Ama Nkrumah,Stub,Ghana,29.5,764349408
8885,Esther Obeng Dapaah,Start,Ghana,29.5,764909817
8886,Obuobia Darko-Opoku,Start,Ghana,29.5,764911200
8887,Elizabeth Ohene,Stub,Ghana,29.5,765199255
8888,Florence Oboshie Sai-Coffie,Stub,Ghana,29.5,765224328
8889,Abubakar Boniface Siddique,Stub,Ghana,29.5,765224346
8890,Kwame Dzokoto,Stub,Ghana,29.5,765227498
8891,Nana Agyenim Boateng,Stub,Ghana,29.5,765228273
8892,Emmanuel Odoi Lartey,Stub,Ghana,29.5,765228329
8893,Gifty Eugenia Kusi,Start,Ghana,29.5,765437651
8894,Mary Salifu Boforo,Start,Ghana,29.5,765438219
8895,Victor Newman (politician),Stub,Ghana,29.5,765499635
8896,Gabby Nsiah Nketiah,Stub,Ghana,29.5,765997226
8897,Charles Wereko-Brobby,Start,Ghana,29.5,767041981
8898,Kwasi Ameyaw-Cheremeh,Stub,Ghana,29.5,767072217
8899,Alima Mahama,Stub,Ghana,29.5,767691538
8900,Benita Sena Okity-Duah,Start,Ghana,29.5,768068236
8901,Seth Terkper,Start,Ghana,29.5,768253599
8902,Mary Grant (politician),Start,Ghana,29.5,768565841
8903,Limuna Mohammed Muniru,Stub,Ghana,29.5,769969828
8904,Zanetor Agyeman-Rawlings,Start,Ghana,29.5,770427492
8905,Alfred Kwame Agbesi,Start,Ghana,29.5,771001589
8906,Samuel Ofosu-Ampofo,Stub,Ghana,29.5,772790308
8907,Imoro Andani,Stub,Ghana,29.5,772958432
8908,Henry Ametepey,Stub,Ghana,29.5,773191435
8909,Charles Omar Nyanor,Stub,Ghana,29.5,774147882
8910,Nana Oye Lithur,Stub,Ghana,29.5,774157951
8911,Abrah Comfort Rosemond,Stub,Ghana,29.5,775075820
8912,Maxwell Kofi Jumah,Stub,Ghana,29.5,775185169
8913,Isaac Nii Djanmah Vanderpuye,Stub,Ghana,29.5,775476929
8914,Joseph Richard Asiedu,Stub,Ghana,29.5,777531329
8915,Justice Samuel Adjei,Stub,Ghana,29.5,777876411
8916,Kale Cezario,Stub,Ghana,29.5,778148731
8917,Edward Mantey,Start,Ghana,29.5,778480888
8918,Joyce Bamford-Addo,Start,Ghana,29.5,778817290
8919,Kobina Tahir Hammond,Stub,Ghana,29.5,779141438
8920,Marietta Brew Appiah-Oppong,Start,Ghana,29.5,779394002
8921,Hilla Limann,Start,Ghana,29.5,781893847
8922,Lucy Awuni Mbun,Stub,Ghana,29.5,782504569
8923,"MPs elected in the Ghanaian parliamentary election, 2000",B,Ghana,29.5,782758153
8924,"MPs elected in the Ghanaian parliamentary election, 1996",C,Ghana,29.5,783324927
8925,E. M. Osei-Wusu,Stub,Ghana,29.5,783469347
8926,Charlotte Osei,Start,Ghana,29.5,783601280
8927,Philemon Quaye,Stub,Ghana,29.5,783751719
8928,Mavis Ama Frimpong,Stub,Ghana,29.5,784081591
8929,Benito Owusu Bio,Stub,Ghana,29.5,784113912
8930,Joseph Rockson,Stub,Ghana,29.5,784437905
8931,George Isaac Amoo,Stub,Ghana,29.5,784884405
8932,Akua Donkor,Start,Ghana,29.5,784910895
8933,Emmanuel Armah Kofi Buah,Start,Ghana,29.5,785583165
8934,"MPs elected in the Ghanaian parliamentary election, 1992",C,Ghana,29.5,785768343
8935,Sheikh Ibrahim Cudjoe Quaye,Stub,Ghana,29.5,786417386
8936,Alfred Gyan,Stub,Ghana,29.5,786594689
8937,Bernice Adiku Heloo,Stub,Ghana,29.5,786735940
8938,Frema Opare,Stub,Ghana,29.5,787054022
8939,Jonathan Nii Tackie Kommey,C,Ghana,29.5,787750781
8940,Kwame Sanaa-Poku Jantuah,Start,Ghana,29.5,788009171
8941,Sophia Ophilia Adjeibea Adinyira,Stub,Ghana,29.5,788034121
8942,Akwasi Addai Odike,Stub,Ghana,29.5,788051376
8943,Victor Gbeho,Start,Ghana,29.5,788058547
8944,Yakubu Tali,Stub,Ghana,29.5,788454916
8945,Opoku Ware II,Start,Ghana,29.5,788500043
8946,President of Ghana,GA,Ghana,29.5,788520985
8947,Abdul-Rashid Pelpuo,Start,Ghana,29.5,788850702
8948,Akwasi Oppong Fosu,Stub,Ghana,29.5,788850724
8949,Albert Abongo,Stub,Ghana,29.5,788850737
8950,Alexander Asum-Ahensah,Stub,Ghana,29.5,788850756
8951,Alexander Kwamina Afenyo-Markin,Stub,Ghana,29.5,788850762
8952,Alhassan Azong,Start,Ghana,29.5,788850777
8953,Ameen Salifu,Stub,Ghana,29.5,788850792
8954,Amin Amidu Sulemana,Stub,Ghana,29.5,788850803
8955,Andrews Adjei-Yeboah,Stub,Ghana,29.5,788850809
8956,Cecilia Gyan Amoah,Start,Ghana,29.5,788850847
8957,Ernest Debrah,Stub,Ghana,29.5,788850919
8958,Henry Ford Kamel,Start,Ghana,29.5,788850982
8959,Joe Gidisu,Start,Ghana,29.5,788851037
8960,Joseph Aidoo,Stub,Ghana,29.5,788851063
8961,Joseph Amenowode,Start,Ghana,29.5,788851073
8962,Juliana Azumah-Mensah,Start,Ghana,29.5,788851128
8963,Kwabena Donkor,Stub,Ghana,29.5,788851149
8964,Mahama Ayariga,Start,Ghana,29.5,788851178
8965,Moses Amadu Yahaya,Start,Ghana,29.5,788851220
8966,Mubarak Mohammed Muntaka,Start,Ghana,29.5,788851233
8967,Nayon Bilijo,Start,Ghana,29.5,788851278
8968,Paa Kwesi Nduom,C,Ghana,29.5,788851315
8969,Paul Evans Aidoo,Start,Ghana,29.5,788851336
8970,Stephen Amoanor Kwao,Start,Ghana,29.5,788851361
8971,Roland Issifu Alhassan,Stub,Ghana,29.5,788852012
8972,Paul Collins Appiah Ofori,Stub,Ghana,29.5,788852033
8973,Nii Okaidja Adamafio,Stub,Ghana,29.5,788852070
8974,Mumuni Abudu Seidu,Stub,Ghana,29.5,788852088
8975,Muhammad Mumuni,C,Ghana,29.5,788852096
8976,Moses Asaga,Start,Ghana,29.5,788852102
8977,Kwaku Boateng (politician),Start,Ghana,29.5,788852169
8978,Krobo Edusei,Start,Ghana,29.5,788852191
8979,Kojo Botsio,Start,Ghana,29.5,788852222
8980,Joe Appiah,Start,Ghana,29.5,788852288
8981,Isaac Chinebuah,Start,Ghana,29.5,788852316
8982,Imoru Egala,Stub,Ghana,29.5,788852457
8983,Hawa Yakubu,Start,Ghana,29.5,788852671
8984,Hackman Owusu-Agyeman,Start,Ghana,29.5,788852681
8985,Gladys Asmah,Start,Ghana,29.5,788852689
8986,Ama Benyiwa-Doe,Stub,Ghana,29.5,788852828
8987,Alban Bagbin,Start,Ghana,29.5,788852849
8988,Abraham Ossei Aidooh,Stub,Ghana,29.5,788852857
8989,"MPs elected in the Ghanaian parliamentary election, 1969",Start,Ghana,29.5,789092489
8990,John Mensah Sarbah,C,Ghana,29.5,789093571
8991,Josephine Hilda Addo,Stub,Ghana,29.5,789121281
8992,Fiifi Fiavi Kwetey,Start,Ghana,29.5,789143216
8993,Ayikoi Otoo,Start,Ghana,29.5,789354859
8994,Nii Armah Ashitey,Start,Ghana,29.5,789388677
8995,Helen Ntoso,Stub,Ghana,29.5,789388892
8996,Anthony Deku,Start,Ghana,29.5,789403097
8997,Mark Woyongo,Start,Ghana,29.5,789512551
8998,Benjamin Kunbuor,Start,Ghana,29.5,789512696
8999,Joseph Henry Smith,Start,Ghana,29.5,789512809
9000,Ambrose Dery,Stub,Ghana,29.5,789512882
9001,Hanna Tetteh,Start,Ghana,29.5,789515197
9002,Kwaku Agyemang-Manu,Start,Ghana,29.5,789516824
9003,Kweku Asiamah,Start,Ghana,29.5,789519404
9004,Shirley Ayorkor Botchway,Start,Ghana,29.5,789645777
9005,Kwamena Bartels,Start,Ghana,29.5,789788034
9006,Paul Victor Obeng,Start,Ghana,29.5,789829383
9007,Imoro Yakubu Kakpagu,C,Ghana,29.5,789834476
9008,Alex Segbefia,Stub,Ghana,29.5,789844942
9009,Dominic Nitiwul,C,Ghana,29.5,789882818
9010,Emmanuel Ofosu Yeboah,Start,Ghana,29.5,789936759
9011,Sam Nartey George,Stub,Ghana,29.5,790242121
9012,Benjamin Quartey-Papafio,Start,Ghana,29.5,790684655
9013,Francis Amanfoh,Start,Ghana,29.5,790686365
9014,Samuel Okudzeto Ablakwa,Stub,Ghana,29.5,790686891
9015,Kofi Portuphy,Stub,Ghana,29.5,790686907
9016,Samuel Sarpong,Stub,Ghana,29.5,790687665
9017,Thomas Hutton-Mills Sr.,Start,Ghana,29.5,790752249
9018,Salma Frances Mancell-Egala,Stub,Ghana,29.5,790861168
9019,Sheikh T. B. Damba,Stub,Ghana,29.5,790862462
9020,Kwasi Owusu-Yeboa,Stub,Ghana,29.5,790862522
9021,Napoleon Abdulai,Stub,Ghana,29.5,790862543
9022,Joseph Kojo Akudibilah,Stub,Ghana,29.5,790862555
9023,Rasheed Seidu Inusa,Stub,Ghana,29.5,790862562
9024,Rashid Bawa,Stub,Ghana,29.5,790864627
9025,B. J. Da Rocha,Stub,Ghana,29.5,790970956
9026,Francisca Oteng-Mensah,Stub,Ghana,29.5,791155189
9027,Elizabeth Afoley Quaye,Stub,Ghana,29.5,791226788
9028,Stephen Mahamudu Yakubu,Stub,Ghana,29.5,791236244
9029,Edward Mahama,Start,Ghana,29.5,791301387
9030,Sophia Horner-Sam,Stub,Ghana,29.5,791311050
9031,Cabinet of Ghana,Stub,Ghana,29.5,791332371
9032,Vida Amaadi Yeboah,Stub,Ghana,29.5,791493454
9033,Otiko Afisa Djaba,Start,Ghana,29.5,791606509
9034,Paul Okoh,Stub,Ghana,29.5,791824223
9035,John Peter Amewu,Stub,Ghana,29.5,791962906
9036,Edwin Nii Lante Vanderpuye,Start,Ghana,29.5,792406225
9037,Kobina Sekyi,Start,Ghana,29.5,792406360
9038,Mercy Bampo Addo,Stub,Ghana,29.5,792689243
9039,Kweku Tanikyi Kesse,Stub,Ghana,29.5,792763353
9040,Simon Osei-Mensah,Stub,Ghana,29.5,792898044
9041,Kweku Asomah-Cheremeh,Stub,Ghana,29.5,792898077
9042,Kwamena Duncan,Stub,Ghana,29.5,792898118
9043,Ishmael Ashitey,Stub,Ghana,29.5,792898196
9044,Salifu Saeed,Stub,Ghana,29.5,792898209
9045,Rockson Bukari,Stub,Ghana,29.5,792898327
9046,Christopher Ameyaw-Akumfi,Stub,Ghana,29.5,792899305
9047,Emmanuel Adjei Anwhere,Stub,Ghana,29.5,793119264
9048,Joseph W.S. de Graft-Johnson,Start,Ghana,29.5,793360910
9049,Template:GhanaVPs,Stub,Ghana,29.5,793361044
9050,Aliu Mahama,Start,Ghana,29.5,793373963
9051,Kofi Batsa,Start,Ghana,29.5,793385784
9052,Cecilia Bannerman,Stub,Ghana,29.5,793407222
9053,Kofi Amoatey,Stub,Ghana,29.5,793447149
9054,Gifty Klenam,Stub,Ghana,29.5,793447172
9055,Peter Wiafe Pepera,Stub,Ghana,29.5,793447191
9056,Kow Nkensen Arkaah,Start,Ghana,29.5,793482276
9057,Owusu Afriyie Akoto,C,Ghana,29.5,793574665
9058,Bafuor Osei Akoto,Stub,Ghana,29.5,793574838
9059,Carlos Kingsley Ahenkorah,Stub,Ghana,29.5,793578953
9060,Theresa Amerley Tagoe,Start,Ghana,29.5,793582724
9061,Chemogoh Kevin Dzang,C,Ghana,29.5,793810268
9062,Gina Blay,Start,Ghana,29.5,793822645
9063,Andrew Egyapa Mercer,C,Ghana,29.5,793973066
9064,Christine Churcher,Start,Ghana,29.5,794011113
9065,Mayor of Accra,Stub,Ghana,29.5,794215210
9066,Mohammed Adjei Sowah,Stub,Ghana,29.5,794215943
9067,Hannah Esi Badu Cudjoe,Stub,Ghana,29.5,794257470
9068,Sekou Nkrumah,Stub,Ghana,29.5,794450287
9069,Kingsley Aboagye Gyedu,Stub,Ghana,29.5,794587340
9070,Barbara Ayisi Acher,Stub,Ghana,29.5,794587362
9071,Barbara Oteng Gyasi,Stub,Ghana,29.5,794588077
9072,Osei Bonsu Amoah,Stub,Ghana,29.5,794588138
9073,Perry Curtis Kwabla Okudzeto,Stub,Ghana,29.5,794588171
9074,Kwabena Okyere Darko-Mensah,Stub,Ghana,29.5,794588816
9075,Woyiram Boakye-Danquah,Stub,Ghana,29.5,794624640
9076,Clement Kofi Humado,Start,Ghana,29.5,794650630
9077,Cletus Avoka,Stub,Ghana,29.5,794659401
9078,George Andah,Stub,Ghana,29.5,794693651
9079,List of Ghana heads of state by age,,Ghana,29.5,794866848
9080,Collins Dauda,Start,Ghana,29.5,794901677
9081,Zita Okaikoi,Start,Ghana,29.5,795003618
9082,Kojo Armah,C,Ghana,29.5,795467412
9083,"MPs elected in the Ghanaian parliamentary election, 2016",B,Ghana,29.5,795478903
9084,Isaac Kwame Asiamah,C,Ghana,29.5,795549516
9085,Freda Akosua Prempeh,Start,Ghana,29.5,795709449
9086,Gifty Twum Ampofo,Stub,Ghana,29.5,796007795
9087,Joshua Alabi,C,Ghana,29.5,796259948
9088,Ursula Owusu,Stub,Ghana,29.5,796320459
9089,Mavis Hawa Koomson,Start,Ghana,29.5,796342506
9090,Catherine Afeku,C,Ghana,29.5,796372049
9091,Samia Nkrumah,C,Ghana,29.5,796389354
9092,Kwesi Amoako Atta,C,Ghana,29.5,796540270
9093,Kwesi Amissah-Arthur,C,Ghana,29.5,796721083
9094,Inusah Fuseini,Start,Ghana,29.5,796721241
9095,Haruna Iddrisu,Start,Ghana,29.5,796721495
9096,Osei Kyei Mensah Bonsu,Stub,Ghana,29.5,796721695
9097,Mahamudu Bawumia,C,Ghana,29.5,796722463
9098,Tawia Adamafio,Start,Ghana,29.5,796723302
9099,Michael Okyere Baafi,Start,Ghana,29.5,796956314
9100,Anthony Akoto Osei,Stub,Ghana,29.5,797087215
9101,Fred Ohene-Kena,Stub,Ghana,29.5,797157520
9102,Hanna Louisa Bissiw,Start,Ghana,29.5,797247588
9103,Augustus Molade Akiwumi,Start,Ghana,29.5,797493061
9104,Bawa Andani Yakubu,Start,Ghana,29.5,797494501
9105,Edward Asafu-Adjaye,Stub,Ghana,29.5,797619009
9106,Edward Omane Boamah,Start,Ghana,29.5,797650054
9107,John Kufuor,C,Ghana,29.5,797709207
9108,Samira Bawumia,Stub,Ghana,29.5,797748613
9109,Akwasi Afrifa,C,Ghana,29.5,797892047
9110,George Boakye,Start,Ghana,29.5,797951544
9111,Alan John Kyerematen,GA,Ghana,29.5,797973243
9112,Kofi Dzamesi,C,Ghana,29.5,798080234
9113,John Atta Mills,FA,Ghana,29.5,798421869
9114,Mabel Dove Danquah,C,Ghana,29.5,798490596
9115,Kofi Asante Ofori-Atta,Start,Ghana,29.5,798555546
9116,Sophia Akuffo,Start,Ghana,29.5,798623020
9117,Ignatius Kutu Acheampong,C,Ghana,29.5,798644008
9118,Adam Amandi,Stub,Ghana,29.5,798882486
9119,Mike Oquaye Jnr,Stub,Ghana,29.5,798893307
9120,Joe Ghartey,C,Ghana,29.5,799156758
9121,Peter Bossman,GA,Ghana,29.5,799334094
9122,Sarah Adwoa Safo,Start,Ghana,29.5,799420385
9123,Patrick Dankwa Anin,Stub,Ghana,29.5,799471325
9124,George Gyan-Baffour,C,Ghana,29.5,799766637
9125,Kwesi Armah,C,Ghana,29.5,799955908
9126,Robert Kotei,Start,Ghana,29.5,799970838
9127,Archie Casely-Hayford,Start,Ghana,29.5,799985247
9128,Roger Joseph Felli,C,Ghana,29.5,799989942
9129,Mercy Yvonne Debrah-Karikari,Start,Ghana,29.5,800144394
9130,Alex Adomako-Mensah,Start,Ghana,29.5,800246664
9131,Gabriel Barima,Start,Ghana,29.5,800319531
9132,Daniel Alolga Akata Pore,Stub,Ghana,29.5,800328592
9133,Matilda Amissah-Arthur,Stub,Ghana,29.5,800666127
9134,Dzifa Ativor,Start,Ghana,29.5,800727235
9135,Susanna Al-Hassan,Start,Ghana,29.5,800729937
9136,Abena Osei Asare,Start,Ghana,29.5,800778957
9137,Vincent Kwabena Damuah,Start,Ghana,29.5,801122285
9138,Reginald Reynolds Amponsah,Start,Ghana,29.5,801179602
9139,Matthew Opoku Prempeh,Start,Ghana,29.5,801188320
9140,Elizabeth Ofosu-Agyare,Start,Ghana,29.5,801424224
9141,Albert Bosomtwi-Sam,Start,Ghana,29.5,801452719
9142,Emmanuel Kwasi Kotoka,C,Ghana,29.5,801571931
9143,Emmanuel Obetsebi-Lamptey,Start,Ghana,29.5,801678387
9144,Ignatius Baffour-Awuah,Start,Ghana,29.5,801686474
9145,Enoch Teye Mensah,Start,Ghana,29.5,801712252
9146,Sulemana Alhassan,Stub,Ghana,29.5,801722677
9147,"MPs elected in the Ghanaian parliamentary election, 2004",B,Ghana,29.5,801831542
9148,Joseph Osei Owusu,Stub,Ghana,29.5,801905198
9149,J. E. Casely Hayford,C,Ghana,29.5,801918931
9150,Bede Ziedeng,Stub,Ghana,29.5,801925162
9151,Edward Akufo-Addo,Start,Ghana,29.5,802244957
9152,Amerley Ollennu Awua-Asamoa,Stub,Ghana,29.5,802376908
9153,Julius Debrah,Start,Ghana,29.5,802597198
9154,Anthony Karbo,Stub,Ghana,29.5,802852148
9155,Felix Owusu-Adjapong,Start,Ghana,29.5,802952160
9156,Joyce Aryee,Start,Ghana,29.5,802981706
9157,Henry Seidu Daanaa,Start,Ghana,29.5,802985537
9158,Togbi Sri II,Stub,Ghana,29.5,803507528
9159,Abu Kasanbata,Stub,Ghana,29.5,803750637
9160,Alhassan Bashir Fuseini,Stub,Ghana,29.5,803799302
9161,Frank Bernasko,C,Ghana,29.5,803998461
9162,Mustapha Abdul-Hamid,Stub,Ghana,29.5,804062907
9163,Jacob Hackenburg Griffiths-Randolph,Start,Ghana,29.5,804071557
9164,Fred Akuffo,Start,Ghana,29.5,804136596
9165,Joyce Bawah Mogtari,Start,Ghana,29.5,804238057
9166,Ephraim Avea Nsoh,Stub,Ghana,29.5,804447862
9167,Isaac Osei,Stub,Ghana,29.5,804497116
9168,Boakye Agyarko,C,Ghana,29.5,804855619
9169,Anita De Sosoo,Stub,Ghana,29.5,804925359
9170,Gloria Amon Nikoi,Start,Ghana,29.5,805160800
9171,Bryan Acheampong,Stub,Ghana,29.5,805198985
9172,George Yankey,Start,Ghana,29.5,805273312
9173,Emmanuel Charles Quist,C,Ghana,29.5,805517180
9174,Chris Bukari Atim,Stub,Ghana,29.5,805756005
9175,Rebecca Akufo-Addo,Start,Ghana,29.5,805766045
9176,Joseph Henry Mensah,Start,Ghana,29.5,805770203
9177,Cecilia Dapaah,Start,Ghana,29.5,805803001
9178,Cecilia Johnson,Stub,Ghana,29.5,805803116
9179,Malik Al-Hassan Yakubu,Stub,Ghana,29.5,806022092
9180,Kennedy Agyapong,Stub,Ghana,29.5,806046011
9181,Augustus Obuadum Tanoh,C,Ghana,29.5,806126026
9182,Gloria Akuffo,Start,Ghana,29.5,806129663
9183,Daniel Aweyue Syme,Stub,Ghana,29.5,806187765
9184,Tabitha Sybil Quaye,Stub,Ghana,29.5,806193935
9185,John Dramani Mahama,C,Ghana,29.5,806259953
9186,William Kanyirigi,Stub,Ghana,29.5,806321078
9187,Kwaku Afriyie,Stub,Ghana,29.5,806338231
9188,Benjamin Aggrey Ntim,Stub,Ghana,29.5,806339965
9189,Samiu Kwadwo Nuamah,Stub,Ghana,29.5,806340803
9190,Kwakye Darfour,Stub,Ghana,29.5,806342995
9191,Archibald Letsa,Stub,Ghana,29.5,806343780
9192,Malik Yakubu,Stub,Ghana,29.5,806375950
9193,"MPs elected in the Ghanaian parliamentary election, 2008",B,Ghana,29.5,806546359
9194,"MPs elected in the Ghanaian parliamentary election, 2012",B,Ghana,29.5,806546587
9195,Emmanuel Aboagye Didieye,Stub,Ghana,29.5,806551952
9196,Jerry Rawlings,C,Ghana,29.5,806607395
9197,J. B. Danquah,C,Ghana,29.5,806722378
9198,Sally Hayfron,C,Ghana,29.5,806779567
9199,Ama Ata Aidoo,C,Ghana,29.5,806818569
9200,List of heads of state of Ghana,C,Ghana,29.5,806823373
9201,Frederick Nanka-Bruce,Start,Ghana,29.5,806890138
9202,Gifty Oware-Aboagye,Start,Ghana,29.5,806909470
9203,Joseph Arthur Ankrah,C,Ghana,29.5,806917601
9204,John Willie Kofi Harlley,Start,Ghana,29.5,806917953
9205,Peter Mac Manu,Stub,Ghana,29.5,806920910
9206,Mildred Christina Akosiwor Fugar,Start,Ghana,29.5,807001216
9207,Paa Grant,C,Ghana,29.5,807079827
9208,Kofi Annan,GA,Ghana,29.5,807177646
9209,Nana Akufo-Addo,C,Ghana,29.5,807222963
9210,Ebenezer Kwadwo Teye Addo,Stub,Ghana,29.5,807326391
9211,Emmanuel Adama Mahama,Stub,Ghana,29.5,807363196
9212,Lordina Mahama,C,Ghana,29.5,807365336
9213,Theresa Kufuor,Start,Ghana,29.5,807366049
9214,Kwame Nkrumah,FA,Ghana,29.5,807430105
9215,Template:Peru-politician-stub,Stub,Peru,32.2,441771813
9216,Template:Peru-mayor-stub,Stub,Peru,32.2,446205420
9217,Template:Peru-diplomat-stub,Stub,Peru,32.2,564317418
9218,Template:Peru-activist-stub,Stub,Peru,32.2,601137346
9219,Elsa Malpartida,Stub,Peru,32.2,671891037
9220,Javier Reátegui,Stub,Peru,32.2,694337217
9221,Jaime Zea,Stub,Peru,32.2,705381218
9222,Allan Wagner Tizón,Stub,Peru,32.2,705631918
9223,Carlos Urrutia (Peruvian diplomat),Stub,Peru,32.2,706604510
9224,Federico Elguera,Stub,Peru,32.2,707375261
9225,Nicanor Carmona,Stub,Peru,32.2,707375293
9226,Ricardo Espinoza,Stub,Peru,32.2,707375437
9227,Andrés F. Dasso,Stub,Peru,32.2,707375539
9228,José Manuel García Bedoya,Stub,Peru,32.2,707375602
9229,Eduardo Dibós Dammert,Stub,Peru,32.2,707376010
9230,Luis T. Larco,Stub,Peru,32.2,707376171
9231,Roberto Carrión Pollit,Stub,Peru,32.2,707376527
9232,Piero Pierantoni Cámpora,Stub,Peru,32.2,707376565
9233,Eduardo Orrego Villacorta,Stub,Peru,32.2,707376606
9234,Alfonso Barrantes Lingán,Start,Peru,32.2,707376630
9235,Natale Amprimo,Stub,Peru,32.2,707380559
9236,Javier Espinoza,Stub,Peru,32.2,707380906
9237,Ántero Asto,Stub,Peru,32.2,707380950
9238,Jaime Salinas,Stub,Peru,32.2,707381081
9239,Alberto Borea,Stub,Peru,32.2,707381218
9240,Luis Carpio,Stub,Peru,32.2,707381813
9241,Walter Vásquez Vejarano,Stub,Peru,32.2,707386477
9242,Abel Salinas,Stub,Peru,32.2,707884751
9243,Luis Guerrero,Stub,Peru,32.2,707946877
9244,Alberto Moreno (politician),Stub,Peru,32.2,707980921
9245,Cristóbal Ramírez de Cartagena,Stub,Peru,32.2,708323770
9246,Wilder Calderón,Stub,Peru,32.2,708395399
9247,Fredy Otárola,Start,Peru,32.2,708395440
9248,Álvaro Gutiérrez (politician),Stub,Peru,32.2,708395552
9249,Rocío González,Stub,Peru,32.2,708395581
9250,Rosa Florián,Stub,Peru,32.2,708395795
9251,Oswaldo Luizar,Stub,Peru,32.2,708395962
9252,Víctor Mayorga,Stub,Peru,32.2,708396056
9253,Luis Gonzales Posada,Stub,Peru,32.2,708396309
9254,Diego Núñez de Avendaño,Stub,Peru,32.2,708398421
9255,Ricardo Pando,Stub,Peru,32.2,708399306
9256,Edgard Reymundo,Stub,Peru,32.2,708399380
9257,Elías Rodríguez,Stub,Peru,32.2,708399398
9258,Daniel Robles,Stub,Peru,32.2,708399417
9259,Francisco Escudero Casquino,Stub,Peru,32.2,708399506
9260,Luis Falla,Stub,Peru,32.2,708399713
9261,Franco Carpio,Stub,Peru,32.2,708399734
9262,Gustavo Espinoza,Stub,Peru,32.2,708399754
9263,Mario Peña,Stub,Peru,32.2,708399820
9264,José Augusto Vargas,Stub,Peru,32.2,708399849
9265,Víctor Isla,Stub,Peru,32.2,708399866
9266,Juan Perry,Stub,Peru,32.2,708399886
9267,Hilda Guevara,Stub,Peru,32.2,708399940
9268,Oswaldo de la Cruz,Stub,Peru,32.2,708399976
9269,Gloria Ramos,Stub,Peru,32.2,708399998
9270,Luisa María Cuculiza,Stub,Peru,32.2,708400186
9271,Renzo Reggiardo,Stub,Peru,32.2,708400261
9272,Carlos Raffo,Stub,Peru,32.2,708400280
9273,Julio Herrera (politician),Stub,Peru,32.2,708400574
9274,César Zumaeta,Stub,Peru,32.2,708400591
9275,Alda Lazo,Stub,Peru,32.2,708400672
9276,Walter Menchola,Stub,Peru,32.2,708400686
9277,Franklin Sánchez,Stub,Peru,32.2,708400698
9278,Javier Bedoya,Start,Peru,32.2,708400811
9279,José Luna,Stub,Peru,32.2,708400929
9280,Jorge Flores (politician),Stub,Peru,32.2,708400979
9281,Juvenal Ordoñez,Stub,Peru,32.2,708401044
9282,Aurelio Pastor,Stub,Peru,32.2,708401406
9283,Margarita Sucari,Stub,Peru,32.2,708405270
9284,Susana Vilca,Stub,Peru,32.2,708405357
9285,Jhony Peralta,Stub,Peru,32.2,708412844
9286,Rosa Venegas,Stub,Peru,32.2,708412894
9287,Gladys Triveño,Start,Peru,32.2,709018829
9288,Fernando Torres de Portugal y Mesía,Stub,Peru,32.2,709292836
9289,Martín Pérez (politician),Stub,Peru,32.2,709296158
9290,Luis Wilson,Stub,Peru,32.2,709296198
9291,Édgar Núñez (politician),Stub,Peru,32.2,709296394
9292,Isaac Serna,Stub,Peru,32.2,709296415
9293,Aldo Estrada,Stub,Peru,32.2,709296656
9294,Pedro Santos (politician),Stub,Peru,32.2,709328990
9295,Luis Gallo Porras,Stub,Peru,32.2,713914236
9296,Luis Miró Quesada,Stub,Peru,32.2,714557236
9297,Rafael Yamashiro,Stub,Peru,32.2,715164237
9298,Víctor García Toma,Start,Peru,32.2,715164347
9299,Yaneth Cajahuanca,Stub,Peru,32.2,715171678
9300,Alfredo Cenzano,Stub,Peru,32.2,715791755
9301,Santiago Fujimori,Stub,Peru,32.2,715943782
9302,Juan Manuel Guillén,Stub,Peru,32.2,716753310
9303,Rolando Sousa,Start,Peru,32.2,717501590
9304,Fernando Olivera,Start,Peru,32.2,717808344
9305,Washington Zeballos,Stub,Peru,32.2,717930558
9306,Michel Azcueta,Stub,Peru,32.2,717972079
9307,Roger Najar,Stub,Peru,32.2,718036431
9308,Benjamín Boza,Stub,Peru,32.2,718160453
9309,Juan Jiménez de Montalvo,Stub,Peru,32.2,718342724
9310,Efraín Saavedra,Stub,Peru,32.2,718800644
9311,Carlos Gamarra Ugaz,Stub,Peru,32.2,719225576
9312,Héctor García Ribeyro,Stub,Peru,32.2,719255778
9313,Marco Parra Sánchez,Stub,Peru,32.2,719335212
